Date,Open,High,Low,Close,Adj Close,Volume
2017-02-24,810.049988,814.969971,806.130005,814.969971,814.969971,0
2017-02-27,814.900024,824.799988,814.119995,824.719971,824.719971,0
2017-02-28,822.599976,822.599976,811.789978,812.090027,812.090027,0
2017-03-01,817.080017,828.080017,817.080017,827.169983,827.169983,0
2017-03-02,826.450012,826.700012,819.299988,819.690002,819.690002,0
2017-03-03,819.500000,821.530029,815.559998,819.090027,819.090027,0
2017-03-06,816.989990,816.989990,810.109985,813.229980,813.229980,0
2017-03-07,811.960022,812.760010,807.270020,807.859985,807.859985,0
2017-03-08,809.070007,812.590027,805.500000,805.780029,805.780029,0
2017-03-09,805.710022,808.169983,800.849976,803.549988,803.549988,0
2017-03-10,805.619995,808.979980,803.080017,808.299988,808.299988,0
2017-03-13,808.270020,812.299988,808.080017,811.229980,811.229980,0
2017-03-14,809.760010,809.760010,801.489990,805.659973,805.659973,0
2017-03-15,807.099976,820.530029,807.099976,818.859985,818.859985,0
2017-03-16,819.909973,822.070007,817.369995,819.280029,819.280029,0
2017-03-17,817.520020,823.309998,816.619995,822.049988,822.049988,0
2017-03-20,822.309998,822.309998,817.599976,819.929993,819.929993,0
2017-03-21,821.390015,823.469971,798.260010,798.609985,798.609985,0
2017-03-22,798.239990,800.739990,793.659973,799.739990,799.739990,0
2017-03-23,799.559998,807.580017,797.909973,802.799988,802.799988,0
2017-03-24,804.090027,809.479980,801.479980,804.890015,804.890015,0
2017-03-27,800.869995,809.219971,793.789978,807.809998,807.809998,0
2017-03-28,807.530029,812.200012,804.429993,811.750000,811.750000,0
2017-03-29,811.190002,815.750000,810.119995,814.640015,814.640015,0
2017-03-30,814.900024,818.270020,814.119995,818.059998,818.059998,0
2017-03-31,817.859985,823.140015,816.979980,820.789978,820.789978,0
2017-04-03,821.969971,823.030029,810.059998,810.859985,810.859985,0
2017-04-04,810.179993,814.119995,806.140015,808.979980,808.979980,0
2017-04-05,810.760010,816.119995,799.309998,800.150024,800.150024,0
2017-04-06,800.340027,806.200012,797.619995,806.190002,806.190002,0
2017-04-07,804.969971,808.599976,802.700012,807.130005,807.130005,0
2017-04-10,807.280029,814.609985,806.289978,808.789978,808.789978,0
2017-04-11,807.260010,813.469971,804.010010,813.330017,813.330017,0
2017-04-12,812.960022,812.960022,803.460022,804.150024,804.150024,0
2017-04-13,803.080017,806.349976,798.099976,798.099976,798.099976,0
2017-04-17,799.770020,807.390015,799.419983,807.299988,807.299988,0
2017-04-18,805.940002,808.059998,802.049988,807.690002,807.690002,0
2017-04-19,809.559998,817.780029,809.559998,812.690002,812.690002,0
2017-04-20,814.539978,822.900024,814.539978,822.570007,822.570007,0
2017-04-21,820.239990,820.340027,816.979980,818.729980,818.729980,0
2017-04-24,822.859985,830.659973,822.859985,829.520020,829.520020,0
2017-04-25,831.590027,840.340027,831.590027,837.919983,837.919983,0
2017-04-26,838.179993,844.539978,837.140015,841.289978,841.289978,0
2017-04-27,842.000000,845.549988,841.729980,843.669983,843.669983,0
2017-04-28,844.070007,845.030029,835.299988,835.669983,835.669983,0
2017-05-01,837.010010,842.039978,833.989990,840.440002,840.440002,0
2017-05-02,841.130005,841.489990,833.869995,836.260010,836.260010,0
2017-05-03,834.690002,834.690002,827.619995,830.440002,830.440002,0
2017-05-04,830.989990,832.260010,825.200012,830.280029,830.280029,0
2017-05-05,832.200012,835.960022,827.809998,835.849976,835.849976,0
2017-05-08,834.710022,835.799988,827.830017,830.479980,830.479980,0
2017-05-09,830.849976,834.169983,829.919983,833.190002,833.190002,0
2017-05-10,832.849976,839.750000,832.359985,838.909973,838.909973,0
2017-05-11,838.419983,838.419983,827.229980,834.429993,834.429993,0
2017-05-12,833.520020,833.520020,829.599976,831.549988,831.549988,0
2017-05-15,832.719971,840.919983,832.719971,838.349976,838.349976,0
2017-05-16,839.039978,839.760010,833.119995,839.659973,839.659973,0
2017-05-17,835.890015,835.890015,815.510010,815.510010,815.510010,0
2017-05-18,814.780029,821.219971,812.179993,819.090027,819.090027,0
2017-05-19,819.619995,826.419983,819.619995,822.200012,822.200012,0
2017-05-22,823.299988,829.119995,823.299988,828.419983,828.419983,0
2017-05-23,829.539978,831.119995,824.659973,829.010010,829.010010,0
2017-05-24,829.890015,832.750000,828.090027,831.929993,831.929993,0
2017-05-25,833.539978,837.469971,832.450012,833.770020,833.770020,0
2017-05-26,833.640015,833.890015,829.669983,833.109985,833.109985,0
2017-05-30,832.369995,832.789978,826.859985,826.859985,826.859985,0
2017-05-31,827.830017,829.719971,818.239990,827.409973,827.409973,0
2017-06-01,828.340027,843.659973,828.340027,843.619995,843.619995,0
2017-06-02,843.880005,855.659973,843.880005,851.450012,851.450012,0
2017-06-05,851.200012,851.669983,845.070007,845.530029,845.530029,0
2017-06-06,843.880005,849.780029,840.109985,845.479980,845.479980,0
2017-06-07,846.559998,849.510010,843.770020,846.700012,846.700012,0
2017-06-08,847.039978,856.479980,845.229980,855.890015,855.890015,0
2017-06-09,856.960022,864.270020,846.039978,851.909973,851.909973,0
2017-06-12,850.020020,852.500000,843.580017,849.770020,849.770020,0
2017-06-13,851.210022,854.729980,849.960022,854.690002,854.690002,0
2017-06-14,855.299988,855.780029,847.250000,850.869995,850.869995,0
2017-06-15,846.539978,846.539978,841.119995,846.059998,846.059998,0
2017-06-16,842.190002,845.030029,839.530029,845.030029,845.030029,0
2017-06-19,846.880005,855.960022,846.880005,855.330017,855.330017,0
2017-06-20,854.559998,854.869995,847.229980,847.440002,847.440002,0
2017-06-21,848.479980,855.460022,848.479980,850.400024,850.400024,0
